en	vi	description
acausal modeling		, 3-7
access control		, see admission; control
acknowledgment (ack) packet		, 4-13–4-15
activator		, 1-12, 3-39, 5-36
active filter		, see also operational amplifier, 6-24
actuators		, 1-5, 3-5, 3-30, 4-1, 4-17, 7-12, 8-25, 9-37, 10-17, 11-22, 12-15, 12-27–12-29, 12-32; effect on zeros, 10-17, 12-29; in computing systems, 4-11; saturation, 3-9, 8-27, 11-9, 11-15–11-17, 11-23, 12-15
A/D converters		, see analog-to-digital; converters
Adapt		, 14-24
adaptation		, 11-5, 14-15
adaptive control		, 13-28, 14-31
additive uncertainty		, 13-3, 13-7, 13-10, 13-31
adjacency matrix		, 3-36
admission control		, 3-33, 3-43, 4-14, 4-15, 10-8
aerospace systems		, see also vectored thrust aircraft; X-29 aircraft, 1-7–1-8, 1-14, 12-33
AFM		, see atomic force; microscope
air-fuel ratio control		, 1-22
aircraft		, see flight control
alcohol		, metabolism of, 4-30
algebraic loops		, 3-10–3-11, 8-11
aliasing		, 8-27
all-pass transfer function		, 12-25
alternating current (AC)		, 6-25
amplifier		, see operational amplifier
amplitude ratio		, see gain
analog computing		, 3-10, 3-11, 4-7, 11-21
analog implementation		, controllers, 4-10, 9-35, 11-21–11-22
analog-to-digital converters		, 1-5, 4-18, 8-25, 8-26, 11-22
angle		, 2-4
anti-windup compensation		, 1-19
anticipation		, in controllers, see also derivative action, 1-19, 11-5
antiresonance		, 6-26
anti-windup compensation		, 11-15–11-17, 11-22, 11-24, 11-26
Apache web server		, see also web server control, 4-12
apparent volume of; distribution		, 4-22, 4-30
Arbib		, M. A., 7-1
architecture		, 14-1, 14-34
argument		, of a complex; number, 9-24
arrival rate (queuing systems)		, 3-33
assume-guarantee		, 14-11
asymptotes		, in Bode plot, 9-26, 9-27
asymptotic stability		, 3-22, 5-8, 5-10, 5-12, 5-13, 5-18, 5-20, 5-23–5-25, 5-27, 6-10; discrete-time systems, 6-35
atmospheric dynamics		, see environmental science
atomic force microscopes		, 1-3, 3-30, 4-17–4-20; contact mode, 4-17, 6-26, 7-35; horizontal positioning, 10-15, 13-20; system identification, 9-31; tapping mode, 4-17, 10-24, 11-7, 11-13, 12-18; with preloading, 4-29
attractor (equilibrium point)		, 5-10
automatic reset		, in PID; control, 11-4
automatic tuning		, 11-15, 13-28
automation		, 3-5
automotive control systems		, see also cruise control; vehicle steering, 1-17, 3-30, 4-5
autonomous differential; equation		, see also time-invariant systems, 3-3
autonomous vehicles		, 14-30–14-33
autonomy		, 14-24
